Duty cycle	V	GND	2.048 REFGain = 4.096
0	1.669125	-2	16410
1	0.067375	-2	16410
2	0.000375	-2	16410
3	-0.003875	-1	16410
4	-0.00475	-2	16410
5	-0.005125	-2	16410
6	-0.00525	-2	16410
7	-0.00125	-2	16410
8	0.097125	-2	16411
9	0.328125	-2	16410
10	0.534375	-2	16410
11	0.723375	-2	16410
12	0.80625	-1	16410
13	0.975875	-2	16410
14	1.006	-2	16410
15	1.08525	-2	16410
16	1.153875	-2	16410
17	1.214	-2	16410
18	1.26975	-2	16410
19	1.321375	-2	16410
20	1.371625	-2	16410
21	1.41675	-2	16410
22	1.46375	-2	16410
23	1.508125	-2	16410
24	1.552375	-2	16410
25	1.595625	-2	16410
26	1.637625	-1	16410
27	1.680125	-2	16410
28	1.719125	-2	16410
29	1.759	-2	16410
30	1.7965	-2	16410
31	1.834625	-2	16410
32	1.875375	-2	16410
33	1.99025	-1	16410
34	1.949	-2	16410
35	1.98775	-2	16410
36	2.02325	-2	16410
37	2.0655	-1	16410
38	2.09	-2	16410
39	2.187	-2	16410
40	2.171875	-2	16410
41	2.211625	-2	16410
42	2.302	-2	16410
43	2.29225	-2	16410
44	2.317125	-2	16410
45	2.36625	-2	16410
46	2.386625	-2	16410
47	2.42525	-2	16410
48	2.459875	-1	16411
49	2.4875	-2	16410
50	2.53275	-2	16410
51	2.554625	-2	16410
52	2.59825	-2	16410
53	2.617875	-2	16410
54	2.65975	-1	16410
55	2.694	-2	16410
56	2.722875	-2	16410
57	2.76	-2	16410
58	2.800625	-2	16410
59	2.819	-2	16410
60	2.865875	-1	16410
61	2.90175	-2	16410
62	2.930375	-2	16410
63	2.970625	-2	16410
64	2.997875	-2	16410
65	3.0225	-2	16410
66	3.060875	-2	16410
67	3.089625	-2	16410
68	3.123375	-2	16410
69	3.156375	-2	16410
70	3.185125	-2	16410
71	3.220375	-2	16410
72	3.2525	-2	16410
73	3.276125	-2	16410
74	3.30625	-2	16410
75	3.333625	-2	16410
76	3.36775	-2	16411
77	3.4005	-2	16410
78	3.428875	-2	16410
79	3.458375	-2	16410
80	3.492	-2	16411
81	3.513375	-2	16410
82	3.53	-1	16410
83	3.573875	-2	16410
84	3.60375	-2	16410
85	3.629375	-2	16410
86	3.65775	-2	16410
87	3.67975	-2	16410
88	3.716	-2	16410
89	3.74	-2	16410
90	3.78775	-2	16410
91	3.81925	-2	16410
92	3.848	-2	16410
93	3.87725	-2	16410
94	3.895375	-2	16410
95	3.954625	-2	16410
96	4.022625	-2	16410
97	4.023125	-2	16410
98	4.0235	-2	16410
100	4.023	-2	16410
