Duty cycle	V	GND	2.048 REFGain = 4.096
0	1.6715	-2	16410
1	0.06425	-2	16410
2	-0.000125	-2	16410
3	-0.004125	-2	16410
4	-0.00475	-2	16410
5	-0.00525	-2	16410
6	-0.00525	-2	16410
7	-0.001125	-2	16410
8	0.096875	-2	16410
9	0.327125	-2	16410
10	0.532625	-2	16410
11	0.679125	-2	16410
12	0.80325	-2	16409
13	0.91025	-2	16410
14	1.005625	-2	16410
15	1.084125	-2	16410
16	1.1505	-2	16410
17	1.242875	-2	16410
18	1.32	-2	16410
19	1.406625	-2	16410
20	1.462375	-2	16410
21	1.482875	-2	16410
22	1.559125	-2	16410
23	1.58625	-2	16410
24	1.552125	-2	16410
25	1.5955	-2	16410
26	1.676875	-2	16410
27	1.68025	-2	16410
28	1.734375	-2	16410
29	1.761125	-2	16410
30	1.800875	-2	16410
31	1.842	-2	16410
32	1.91575	-2	16410
33	1.9115	-1	16410
34	1.968125	-2	16410
35	1.999375	-2	16410
36	2.02125	-2	16410
37	2.074125	-2	16410
38	2.109625	-2	16410
39	2.128375	-2	16410
40	2.199875	-2	16410
41	2.221875	-2	16410
42	2.255375	-2	16410
43	2.289875	-2	16410
44	2.3205	-1	16410
45	2.343375	-2	16410
46	2.388875	-2	16410
47	2.4155	-2	16410
48	2.44775	-2	16410
49	2.480625	-2	16410
50	2.518625	-2	16410
51	2.5395	-2	16410
52	2.589125	-2	16410
53	2.609625	-2	16410
54	2.68925	-2	16410
55	2.689125	-2	16410
56	2.723375	-2	16410
57	2.7575	-2	16410
58	2.806875	-2	16410
59	2.8275	-2	16410
60	2.87375	-2	16409
61	2.889125	-2	16410
62	2.924875	-2	16410
63	2.968	-2	16410
64	2.99925	-2	16410
65	3.029875	-2	16410
66	3.059	-2	16410
67	3.08875	-2	16410
68	3.124125	-2	16410
69	3.153875	-2	16410
70	3.177	-2	16411
71	3.218125	-2	16410
72	3.244	-2	16410
73	3.266875	-2	16410
74	3.30175	-2	16410
75	3.343875	-2	16410
76	3.35975	-2	16410
77	3.394875	-2	16410
78	3.425625	-2	16410
79	3.442625	-2	16410
80	3.481125	-2	16410
81	3.509	-2	16410
82	3.532125	-2	16410
83	3.5715	-2	16410
84	3.590875	-2	16410
85	3.62075	-2	16410
86	3.67025	-2	16410
87	3.701625	-2	16410
88	3.72425	-2	16410
89	3.75825	-2	16410
90	3.787375	-2	16410
91	3.816875	-2	16410
92	3.83275	-2	16410
93	3.877375	-2	16410
94	3.90575	-2	16410
95	3.954125	-1	16410
96	4.02275	-2	16410
97	4.02325	-2	16410
98	4.023	-2	16410
100	4.0235	-2	16410
