Duty cycle	V	GND	2.048 REFGain = 4.096
0	1.625125	-2	16410
1	0.065	-2	16410
2	0.000125	-2	16410
3	-0.004125	-2	16410
4	-0.004875	-2	16410
5	-0.005125	-2	16410
6	-0.005625	-2	16410
7	-0.001	-2	16410
8	0.098	-2	16411
9	0.3285	-2	16410
10	0.535375	-2	16410
11	0.683125	-2	16410
12	0.806125	-2	16410
13	0.91025	-2	16410
14	1.006125	-2	16410
15	1.094125	-2	16410
16	1.153125	-2	16410
17	1.2135	-2	16410
18	1.267375	-2	16410
19	1.32025	-2	16410
20	1.37125	-2	16410
21	1.417875	-2	16410
22	1.4635	-2	16410
23	1.514375	-2	16410
24	1.5505	-2	16410
25	1.594125	-2	16410
26	1.636125	-2	16410
27	1.67775	-2	16410
28	1.750625	-2	16410
29	1.793625	-2	16410
30	1.8275	-2	16410
31	1.835625	-1	16410
32	1.873375	-1	16410
33	1.913125	-2	16410
34	1.966625	-2	16410
35	2.00125	-2	16410
36	2.023875	-2	16410
37	2.0825	-1	16410
38	2.10675	-2	16410
39	2.159125	-2	16410
40	2.179875	-2	16410
41	2.2175	-1	16410
42	2.260875	-2	16410
43	2.295125	-2	16410
44	2.3235	-2	16410
45	2.339875	-2	16410
46	2.390375	-2	16410
47	2.417125	-2	16410
48	2.45625	-2	16410
49	2.487625	-2	16410
50	2.50975	-2	16410
51	2.53875	-2	16410
52	2.600375	-2	16410
53	2.6485	-2	16410
54	2.66725	-2	16410
55	2.699375	-1	16410
56	2.732	-2	16410
57	2.767375	-2	16410
58	2.796875	-1	16410
59	2.8445	-1	16410
60	2.873625	-2	16410
61	2.904375	-2	16410
62	2.937	-2	16410
63	2.966375	-2	16410
64	2.9975	-2	16410
65	3.030625	-2	16410
66	3.058125	-2	16410
67	3.09025	-2	16410
68	3.120625	-2	16410
69	3.1485	-2	16410
70	3.180625	-2	16410
71	3.20575	-2	16410
72	3.239875	-2	16410
73	3.272625	-1	16410
74	3.308	-2	16410
75	3.323625	-2	16410
76	3.360875	-2	16410
77	3.39425	-2	16410
78	3.41675	-2	16410
79	3.45675	-2	16410
80	3.483125	-2	16410
81	3.50775	-2	16410
82	3.530375	-2	16410
83	3.56175	-2	16410
84	3.5895	-2	16410
85	3.6195	-2	16410
86	3.663	-2	16410
87	3.696125	-2	16410
88	3.73025	-2	16410
89	3.757	-2	16410
90	3.779	-2	16410
91	3.816625	-2	16410
92	3.832875	-2	16410
93	3.88125	-2	16410
94	3.90975	-2	16410
95	3.956125	-2	16410
96	4.02275	-1	16410
97	4.0225	-2	16410
98	4.023125	-2	16410
100	4.02325	-2	16410
