Duty cycle	V	GND	2.048 REFGain = 4.096
0	1.6785	-2	16410
1	0.06875	-2	16410
2	0.000125	-2	16410
3	-0.00425	-2	16410
4	-0.00475	-2	16410
5	-0.00525	-2	16410
6	-0.005375	-2	16410
7	-0.001625	-2	16410
8	0.095125	-2	16410
9	0.327	-2	16410
10	0.533125	-2	16410
11	0.680875	-2	16410
12	0.80475	-2	16410
13	0.91375	-2	16411
14	1.00425	-2	16410
15	1.10525	-2	16410
16	1.152625	-2	16410
17	1.213875	-2	16410
18	1.267875	-2	16410
19	1.3205	-2	16410
20	1.37025	-2	16410
21	1.416875	-1	16410
22	1.4955	-2	16410
23	1.5075	-2	16410
24	1.551375	-2	16410
25	1.59375	-2	16410
26	1.63525	-2	16410
27	1.690125	-2	16410
28	1.780125	-2	16410
29	1.757	-2	16410
30	1.801	-2	16410
31	1.84025	-2	16410
32	1.88475	-2	16410
33	1.911375	-2	16410
34	1.956875	-2	16410
35	2.002625	-2	16411
36	2.03075	-2	16410
37	2.08525	-2	16410
38	2.102875	-2	16410
39	2.128375	-2	16410
40	2.187625	-2	16410
41	2.228375	-2	16410
42	2.25875	-2	16411
43	2.270625	-2	16410
44	2.324375	-2	16410
45	2.34425	-2	16410
46	2.396	-2	16410
47	2.424625	-2	16410
48	2.447875	-2	16410
49	2.4915	-2	16410
50	2.517625	-2	16410
51	2.550875	-2	16410
52	2.588125	-2	16410
53	2.61925	-2	16410
54	2.654625	-2	16410
55	2.692875	-2	16411
56	2.722875	-2	16410
57	2.74425	-2	16410
58	2.78225	-2	16410
59	2.819375	-2	16410
60	2.8755	-2	16410
61	2.90675	-2	16411
62	2.938125	-2	16410
63	2.9685	-2	16410
64	2.998125	-2	16410
65	3.029375	-2	16410
66	3.059625	-2	16410
67	3.087125	-2	16410
68	3.11825	-2	16410
69	3.15025	-2	16410
70	3.182875	-2	16410
71	3.213375	-2	16410
72	3.243	-2	16410
73	3.277125	-2	16410
74	3.3065	-2	16410
75	3.33725	-2	16410
76	3.366125	-2	16410
77	3.395125	-2	16410
78	3.42825	-2	16410
79	3.45	-1	16410
80	3.4695	-2	16410
81	3.50225	-2	16410
82	3.54575	-2	16410
83	3.56025	-2	16410
84	3.61225	-2	16410
85	3.643875	-2	16410
86	3.652875	-2	16410
87	3.699375	-2	16410
88	3.723875	-2	16410
89	3.759	-2	16410
90	3.789125	-2	16410
91	3.817625	-2	16410
92	3.848625	-2	16410
93	3.87125	-2	16410
94	3.901875	-2	16410
95	3.9545	-2	16410
96	4.022125	-2	16410
97	4.02225	-2	16410
98	4.0225	-2	16410
100	4.022625	-2	16410
