Duty cycle	V	GND	2.048 REFGain = 4.096
0	1.67075	-1	16410
1	0.069	-2	16410
2	0.00025	-2	16410
3	-0.00425	-2	16410
4	-0.004875	-2	16410
5	-0.0055	-2	16410
6	-0.005625	-2	16410
7	-0.000375	-2	16410
8	0.09775	-2	16410
9	0.32825	-2	16410
10	0.535375	-1	16410
11	0.6825	-2	16410
12	0.80675	-2	16410
13	0.9115	-2	16411
14	1.020375	-2	16410
15	1.107	-2	16410
16	1.15325	-2	16410
17	1.2135	-2	16410
18	1.338	-2	16410
19	1.3995	-2	16410
20	1.37125	-2	16410
21	1.458	-2	16410
22	1.463625	-2	16410
23	1.508125	-2	16410
24	1.553125	-2	16410
25	1.594375	-2	16410
26	1.660625	-2	16410
27	1.67925	-2	16410
28	1.718875	-2	16410
29	1.76275	-2	16410
30	1.798625	-2	16410
31	1.842625	-2	16410
32	1.872	-2	16410
33	1.916625	-1	16410
34	1.958625	-2	16410
35	1.982875	-2	16410
36	2.034125	-2	16410
37	2.076875	-2	16410
38	2.155125	-2	16410
39	2.1395	-2	16410
40	2.17225	-2	16410
41	2.21575	-2	16410
42	2.237625	-2	16410
43	2.337875	-2	16410
44	2.372375	-2	16410
45	2.33825	-2	16410
46	2.399375	-2	16411
47	2.429875	-2	16410
48	2.4565	-2	16410
49	2.475375	-2	16410
50	2.534625	-2	16410
51	2.601625	-2	16411
52	2.59625	-2	16410
53	2.6325	-2	16410
54	2.667125	-2	16410
55	2.69925	-2	16410
56	2.72475	-2	16410
57	2.77225	-2	16410
58	2.80075	-2	16410
59	2.836875	-2	16410
60	2.871125	-2	16410
61	2.891625	-2	16410
62	2.937625	-2	16410
63	3.003875	-2	16410
64	2.990625	-2	16410
65	3.030125	-2	16410
66	3.057625	-2	16410
67	3.085125	-2	16410
68	3.118375	-2	16410
69	3.1965	-2	16410
70	3.177375	-2	16410
71	3.207125	-2	16410
72	3.23475	-2	16410
73	3.25725	-2	16410
74	3.31125	-2	16410
75	3.341625	-2	16410
76	3.372	-1	16410
77	3.40225	-2	16410
78	3.431625	-2	16410
79	3.45775	-2	16410
80	3.490875	-2	16410
81	3.51525	-2	16410
82	3.551625	-2	16410
83	3.576125	-2	16410
84	3.596	-2	16410
85	3.66525	-2	16410
86	3.665625	-2	16410
87	3.700375	-2	16410
88	3.726625	-2	16410
89	3.75425	-2	16410
90	3.770625	-2	16410
91	3.80025	-2	16410
92	3.8385	-2	16410
93	3.874	-2	16410
94	3.9055	-2	16410
95	3.96175	-2	16410
96	4.023	-2	16410
97	4.022625	-2	16410
98	4.02275	-2	16410
100	4.022875	-2	16410
