Duty cycle	V	GND	2.048 REFGain = 4.096
0	-0.00625	-2	16410
1	-0.005875	-2	16410
2	-0.006625	-2	16410
3	-0.006	-2	16410
4	-0.006375	-2	16410
5	-0.0065	-2	16410
6	-0.006375	-2	16410
7	-0.0015	-2	16410
8	0.104	-2	16410
9	0.338	-2	16410
10	0.542	-2	16410
11	0.688375	-2	16410
12	0.810875	-2	16410
13	0.919125	-2	16410
14	1.029125	-2	16410
15	1.089375	-2	16410
16	1.1565	-2	16410
17	1.224875	-2	16410
18	1.273375	-2	16410
19	1.326375	-2	16410
20	1.372875	-2	16410
21	1.419375	-1	16410
22	1.46475	-1	16410
23	1.580875	-2	16410
24	1.554125	-2	16410
25	1.5975	-2	16410
26	1.639625	-2	16410
27	1.6805	-2	16410
28	1.72	-2	16410
29	1.771625	-2	16410
30	1.807	-2	16410
31	1.8395	-2	16410
32	1.879875	-2	16410
33	1.92875	-2	16410
34	1.956	-1	16410
35	1.99625	-2	16410
36	2.030375	-2	16410
37	2.070125	-2	16410
38	2.108375	-2	16410
39	2.151	-2	16410
40	2.172	-2	16410
41	2.206875	-2	16410
42	2.247625	-2	16410
43	2.28675	-2	16410
44	2.335375	-2	16410
45	2.36375	-2	16410
46	2.418875	-2	16411
47	2.433625	-2	16410
48	2.4685	-2	16410
49	2.499875	-2	16410
50	2.536375	-2	16410
51	2.559625	-2	16410
52	2.601625	-2	16410
53	2.634125	-2	16410
54	2.666125	-2	16410
55	2.70775	-2	16410
56	2.72675	-2	16410
57	2.748625	-2	16410
58	2.800625	-2	16410
59	2.83675	-2	16410
60	2.87075	-2	16410
61	2.90125	-2	16410
62	2.920125	-2	16410
63	2.95375	-2	16410
64	2.998875	-2	16410
65	3.029125	-2	16410
66	3.0585	-1	16410
67	3.087625	-2	16410
68	3.11925	-2	16410
69	3.153	-2	16410
70	3.179125	-2	16410
71	3.2085	-2	16410
72	3.2345	-2	16410
73	3.27575	-2	16410
74	3.29475	-2	16410
75	3.327	-2	16410
76	3.35775	-2	16410
77	3.39875	-2	16410
78	3.431	-2	16410
79	3.458	-2	16410
80	3.472625	-2	16410
81	3.504625	-2	16411
82	3.54275	-2	16410
83	3.573875	-2	16410
84	3.600125	-2	16410
85	3.63025	-2	16410
86	3.64775	-2	16410
87	3.679875	-2	16410
88	3.712	-1	16410
89	3.739375	-2	16410
90	3.789875	-2	16410
91	3.8235	-2	16410
92	3.851375	-2	16410
93	3.863625	-2	16410
94	3.909125	-2	16410
95	3.9625	-2	16410
96	4.021875	-2	16410
97	4.0225	-2	16410
98	4.0225	-2	16410
100	4.02225	-2	16410
