Duty cycle	V	GND	2.048 REFGain = 4.096
0	1.664	-2	16410
1	0.068875	-2	16410
2	0.000375	-2	16410
3	-0.00425	-2	16410
4	-0.004875	-1	16410
5	-0.005	-2	16410
6	-0.005375	-2	16410
7	-0.001375	-2	16410
8	0.0985	-2	16410
9	0.328	-2	16410
10	0.534625	-2	16411
11	0.714	-2	16410
12	0.802875	-2	16410
13	0.914	-2	16410
14	1.006375	-2	16410
15	1.15125	-2	16410
16	1.15425	-1	16410
17	1.21425	-2	16410
18	1.27	-2	16410
19	1.321375	-2	16410
20	1.36975	-2	16410
21	1.418125	-1	16410
22	1.496	-2	16410
23	1.507625	-2	16410
24	1.551875	-2	16410
25	1.595375	-2	16410
26	1.635	-2	16410
27	1.677125	-2	16410
28	1.7425	-2	16410
29	1.758	-2	16410
30	1.796125	-2	16410
31	1.834	-2	16410
32	1.882125	-2	16410
33	1.9055	-2	16410
34	1.951	-2	16410
35	1.984125	-1	16410
36	2.114625	-2	16410
37	2.057375	-2	16410
38	2.12225	-2	16410
39	2.158875	-2	16410
40	2.1885	-2	16411
41	2.205625	-2	16410
42	2.25275	-2	16410
43	2.284375	-2	16410
44	2.330875	-2	16410
45	2.364375	-2	16410
46	2.402875	-2	16410
47	2.43375	-2	16410
48	2.4695	-2	16410
49	2.487875	-2	16410
50	2.51525	-2	16410
51	2.56675	-2	16410
52	2.597	-2	16410
53	2.62075	-2	16410
54	2.658875	-2	16410
55	2.691	-2	16410
56	2.714125	-2	16410
57	2.746625	-2	16410
58	2.788	-2	16410
59	2.83125	-2	16410
60	2.8645	-2	16410
61	2.885125	-2	16410
62	2.933625	-2	16410
63	2.954	-2	16410
64	3.00875	-2	16410
65	3.028875	-2	16410
66	3.05925	-2	16410
67	3.08875	-2	16410
68	3.11725	-2	16410
69	3.154	-1	16410
70	3.18425	-2	16410
71	3.21175	-2	16410
72	3.244875	-2	16410
73	3.272125	-2	16410
74	3.312375	-2	16410
75	3.340125	-2	16410
76	3.372125	-2	16410
77	3.39725	-2	16410
78	3.424125	-2	16410
79	3.46425	-2	16410
80	3.48825	-2	16410
81	3.512875	-2	16410
82	3.54425	-2	16410
83	3.575	-2	16410
84	3.59125	-2	16410
85	3.624625	-2	16410
86	3.65	-2	16410
87	3.698875	-1	16410
88	3.72625	-2	16410
89	3.74825	-2	16410
90	3.767375	-2	16410
91	3.8175	-2	16410
92	3.84525	-2	16410
93	3.864375	-2	16410
94	3.908125	-2	16410
95	3.9595	-2	16410
96	4.022375	-2	16410
97	4.023125	-2	16410
98	4.023375	-2	16410
100	4.023	-2	16410
