Duty cycle	V	GND	2.048 REFGain = 4.096
0	1.683625	-2	16410
1	0.069375	-2	16410
2	0.0	-2	16410
3	-0.00375	-2	16410
4	-0.004875	-2	16410
5	-0.005125	-2	16410
6	-0.0055	-2	16410
7	-0.000625	-2	16410
8	0.110875	-1	16410
9	0.328375	-2	16410
10	0.5575	-2	16410
11	0.72375	-2	16410
12	0.862	-2	16410
13	0.912125	-2	16410
14	1.006875	-1	16410
15	1.08525	-2	16410
16	1.154125	-2	16410
17	1.213875	-2	16410
18	1.32725	-2	16410
19	1.322625	-2	16410
20	1.370375	-2	16410
21	1.417625	-2	16410
22	1.523	-2	16410
23	1.542375	-2	16410
24	1.552125	-2	16410
25	1.5965	-2	16410
26	1.638375	-2	16410
27	1.67825	-2	16410
28	1.7195	-2	16410
29	1.754	-2	16410
30	1.7965	-2	16410
31	1.838	-2	16410
32	1.877875	-2	16410
33	1.959625	-2	16410
34	1.95725	-2	16410
35	2.01575	-2	16410
36	2.034625	-2	16410
37	2.05775	-2	16410
38	2.109125	-1	16410
39	2.13725	-2	16410
40	2.17725	-2	16410
41	2.247625	-2	16410
42	2.250875	-2	16410
43	2.291625	-2	16410
44	2.309375	-2	16410
45	2.357625	-2	16410
46	2.38525	-2	16410
47	2.406875	-2	16410
48	2.452625	-2	16410
49	2.49275	-2	16410
50	2.507375	-2	16410
51	2.5505	-2	16410
52	2.57725	-2	16410
53	2.609	-2	16410
54	2.650875	-2	16410
55	2.713875	-2	16410
56	2.714	-2	16410
57	2.767125	-2	16410
58	2.77925	-2	16410
59	2.837625	-2	16410
60	2.87575	-2	16410
61	2.888625	-2	16410
62	2.932	-2	16410
63	2.9675	-2	16410
64	2.9985	-2	16410
65	3.02375	-2	16411
66	3.056875	-2	16410
67	3.088125	-2	16410
68	3.121375	-2	16410
69	3.148125	-2	16410
70	3.176875	-2	16410
71	3.212	-2	16410
72	3.237625	-2	16410
73	3.264875	-2	16410
74	3.299125	-2	16410
75	3.328	-1	16410
76	3.36175	-2	16410
77	3.39	-2	16410
78	3.428875	-2	16410
79	3.459625	-2	16410
80	3.4875	-2	16410
81	3.516625	-2	16410
82	3.54575	-2	16410
83	3.576375	-2	16410
84	3.60625	-2	16410
85	3.629625	-2	16410
86	3.6605	-2	16410
87	3.679375	-2	16410
88	3.715125	-2	16410
89	3.740625	-2	16410
90	3.776625	-2	16410
91	3.80075	-2	16410
92	3.84125	-2	16410
93	3.862125	-2	16410
94	3.896375	-2	16410
95	3.9545	-2	16410
96	4.023	-2	16410
97	4.023625	-2	16410
98	4.023625	-2	16410
100	4.0235	-2	16410
