Thorlabs Shack-Hartmann Wavefront Sensor

Model                  ,       WFS150C
Serial Number          ,       M00226285

Date MM-DD-YYYY        ,       01-26-2018
Time HH:MM:SS          ,       16:01:52


*** CAMERA ***
Camera Type            ,       Thorlabs DCU224M
Camera SN              ,       4002682899
Resolution X           ,       768
Resolution Y           ,       768
Exposure Time [ms]     ,       0.190
Master Gain            ,       1.201
Averages               ,       1
Average Type           ,       Normal


*** BEAM ***
Beam Center X [mm]     ,      -0.112
Beam Center Y [mm]     ,       0.044
Beam Diameter X [mm]   ,       2.617
Beam Diameter Y [mm]   ,       3.910


*** PUPIL ***
Circular               ,       1
Use Beam Centroid      ,       1
Use Beam Dia           ,       0
Wavefront Calc In Pupil,       0
Pupil Diameter X [mm]  ,       3.000
Pupil Diameter Y [mm]  ,       3.000
Pupil Center X [mm]    ,      -0.112
Pupil Center Y [mm]    ,       0.044


*** ZERNIKE FIT ***
Zernike Orders Auto    ,       0
Zernike Orders         ,       4
Zernike Modes          ,       15
Unit                   ,       µm
Index  Order  Frequency  Coefficient
   1,     0,     0,      -14.934
   2,     1,    -1,        2.334
   3,     1,     1,       -0.303
   4,     2,    -2,       -0.321
   5,     2,     0,       11.500
   6,     2,     2,        0.022
   7,     3,    -3,       -0.056
   8,     3,    -1,       -0.098
   9,     3,     1,        0.640
  10,     3,     3,        0.174
  11,     4,    -4,       -0.016
  12,     4,    -2,        0.006
  13,     4,     0,        0.421
  14,     4,     2,        0.298
  15,     4,     4,        0.334

Fit Error Mean [arcmin]  ,   0.000e+00
Fit Error StdDev [arcmin],   0.000e+00


*** RMS WAVEFRONT VARIATIONS ***
Unit                   ,       µm
Order  Variation
   0,     14.934
   1,      2.353
   2,     11.504
   3,      0.673
   4,      0.614


*** FOURIER NOTATION ***
Fourier Order          ,       2
Fourier M              ,     -35.409
Fourier J0             ,      -0.048
Fourier J45            ,       0.699


*** OPTOMETRIC NOTATION ***
Optometric Sphere [dpt],     -34.709
Optometric Cyl. [dpt]  ,      -1.402
Optometric Axis [deg]  ,      46.961

Radius of Curvature[mm],     -28.241


*** WAVEFRONT ***
Reference              ,       Internal Reference
Unit                   ,       µm
Wavelength [nm]        ,        633.000
Type                   ,       Measured
Calculation Area       ,       entire area
PV                     ,      77.373
RMS                    ,      16.844
RMS weighted           ,       9.899
Spots X                ,       21
Spots Y                ,       21
y / x [mm],    -1.500,    -1.350,    -1.200,    -1.050,    -0.900,    -0.750,    -0.600,    -0.450,    -0.300,    -0.150,     0.000,     0.150,     0.300,     0.450,     0.600,     0.750,     0.900,     1.050,     1.200,     1.350,     1.500,
     1.500,       NaN,    45.529,    41.614,    37.705,    34.430,    31.775,    29.847,    28.747,    28.415,    28.748,    29.648,    30.872,    32.535,    34.572,    37.168,    40.468,    44.742,    50.730,       NaN,       NaN,       NaN,
     1.350,    51.420,    46.337,    41.229,    36.602,    32.463,    28.821,    25.830,    23.653,    22.328,    21.892,    22.394,    23.772,    25.806,    28.191,    31.267,    35.122,    40.073,    46.678,       NaN,       NaN,       NaN,
     1.200,    48.510,    42.371,    36.634,    31.240,    26.449,    22.585,    19.584,    17.408,    16.069,    15.568,    15.908,    17.034,    19.104,    21.907,    25.607,    30.126,    35.409,    42.093,       NaN,       NaN,       NaN,
     1.050,    44.603,    37.820,    31.566,    25.966,    21.301,    17.532,    14.592,    12.463,    11.135,    10.589,    10.798,    11.690,    13.516,    16.367,    20.552,    25.826,    31.613,    38.745,       NaN,       NaN,       NaN,
     0.900,    41.344,    33.674,    27.199,    21.786,    17.271,    13.586,    10.723,     8.628,     7.297,     6.696,     6.752,     7.598,     9.286,    11.870,    15.556,    20.730,    26.840,    34.431,       NaN,       NaN,       NaN,
     0.750,    37.404,    30.117,    23.847,    18.617,    14.213,    10.579,     7.754,     5.677,     4.362,     3.698,     3.659,     4.468,     6.088,     8.557,    11.952,    16.540,    22.480,    30.528,       NaN,       NaN,       NaN,
     0.600,    34.690,    27.529,    21.460,    16.300,    11.965,     8.396,     5.594,     3.523,     2.172,     1.457,     1.445,     2.231,     3.775,     6.134,     9.385,    13.608,    19.333,    27.234,    36.041,       NaN,       NaN,
     0.450,    32.821,    25.821,    19.885,    14.825,    10.588,     7.060,     4.298,     2.185,     0.756,     0.025,    -0.005,     0.755,     2.265,     4.557,     7.670,    11.723,    17.127,    24.335,    33.829,       NaN,       NaN,
     0.300,    31.849,    24.942,    19.054,    14.023,     9.856,     6.368,     3.624,     1.512,     0.072,    -0.693,    -0.758,    -0.001,     1.465,     3.730,     6.775,    10.772,    15.949,    22.869,    32.092,       NaN,       NaN,
     0.150,    31.715,    24.870,    18.980,    13.992,     9.824,     6.382,     3.634,     1.494,     0.062,    -0.688,    -0.735,    -0.008,     1.459,     3.690,     6.692,    10.637,    15.675,    22.415,    31.498,    43.039,    53.633,
     0.000,    32.331,    25.520,    19.637,    14.649,    10.485,     7.062,     4.327,     2.203,     0.764,     0.039,     0.000,     0.704,     2.151,     4.352,     7.366,    11.252,    16.254,    22.922,    31.841,    42.086,    51.348,
    -0.150,    33.756,    26.928,    21.052,    16.067,    11.893,     8.441,     5.670,     3.539,     2.108,     1.387,     1.415,     2.161,     3.560,     5.755,     8.767,    12.665,    17.697,    24.379,    33.130,    43.735,    54.584,
    -0.300,    35.968,    29.103,    23.186,    18.184,    13.970,    10.463,     7.702,     5.549,     4.149,     3.485,     3.510,     4.233,     5.629,     7.857,    10.911,    14.891,    20.026,    26.839,    35.545,    46.828,    57.869,
    -0.450,    38.956,    32.032,    26.080,    21.023,    16.746,    13.186,    10.410,     8.278,     6.903,     6.290,     6.318,     7.037,     8.495,    10.749,    13.820,    17.908,    23.236,    30.174,    39.034,       NaN,       NaN,
    -0.600,    42.821,    35.798,    29.734,    24.613,    20.245,    16.647,    13.838,    11.733,    10.383,     9.756,     9.842,    10.595,    12.075,    14.386,    17.557,    21.805,    27.407,    34.518,    43.586,       NaN,       NaN,
    -0.750,    47.499,    40.393,    34.194,    28.998,    24.530,    20.903,    18.052,    15.935,    14.602,    13.961,    14.064,    14.853,    16.408,    18.869,    22.188,    26.647,    32.285,    39.347,    48.319,       NaN,       NaN,
    -0.900,    52.719,    45.632,    39.541,    34.207,    29.668,    25.962,    23.080,    20.976,    19.643,    18.950,    19.012,    19.944,    21.619,    24.228,    27.814,    32.310,    37.712,    44.539,       NaN,       NaN,       NaN,
